seed,best_epoch,train_r2,valid_r2,test_r2,train_rmse,valid_rmse,test_rmse,U型个数,倒U型个数,弱相关个数
12,32,0.1689,0.0117,0.1866,0.0789,0.0795,0.0858,21,8,1
22,45,0.238,0.0315,0.2151,0.0755,0.0787,0.0842,4,25,1
32,35,0.1907,0.0214,0.2264,0.0778,0.0791,0.0836,12,11,7
42,44,0.2591,0.0079,0.175,0.0745,0.0796,0.0864,15,12,3
52,31,0.1873,0.0302,0.1466,0.078,0.0787,0.0878,11,12,7
62,42,0.2289,0.0216,0.2234,0.076,0.0791,0.0838,16,12,2
72,40,0.1965,-0.0092,0.1864,0.0776,0.0803,0.0858,15,12,3
82,31,0.2229,0.0089,0.1523,0.0763,0.0796,0.0876,8,22,0
92,32,0.1975,-0.0234,0.1472,0.0775,0.0809,0.0878,20,5,5
102,28,0.1673,0.0301,0.1521,0.079,0.0787,0.0876,5,24,1
