模式,平均省份数,标准差,最小值,最大值,95%经验区间下限,95%经验区间上限
U型,13.7,5.6211,3,24,3.725,22.55
倒U型,13.8667,5.8175,5,25,5.0,24.275
弱相关,2.4333,2.2846,0,7,0.0,7.0
