Province,Province_Type,EE_Change,EE_Change_Std,Relative_Change_Percent,Rank
广东,Target,0.002841115,0.003255369,0.26004696,1
海南,Neighbor,0.0014516354,0.0003793253,0.13993596,2
广西,Neighbor,0.0007740736,0.0002528808,0.07545155,3
江西,Neighbor,0.0007394791,0.00031371572,0.07171797,4
湖南,Neighbor,0.00038692952,0.00014488575,0.03708068,5
浙江,Other,0.00026590825,0.0003425091,0.024244128,6
福建,Neighbor,0.0002145648,0.0008546364,0.020095026,7
安徽,Other,0.00018241405,4.8484275e-05,0.017554203,8
贵州,Other,0.00016615391,6.253533e-05,0.016281491,9
云南,Other,0.00016041994,9.8227196e-05,0.01559252,10
江苏,Other,0.00015926361,0.00029312042,0.01451977,11
北京,Other,0.00015872717,0.00011908237,0.01457198,12
上海,Other,0.00012768507,7.838908e-05,0.0119893085,13
湖北,Other,0.00012279749,3.709476e-05,0.011659192,14
山东,Other,8.935928e-05,0.00013432007,0.00837935,15
新疆,Other,7.1007016e-05,4.9907158e-05,0.0070309755,16
河南,Other,6.991625e-05,3.144877e-05,0.006746575,17
重庆,Other,6.7669156e-05,3.8248836e-05,0.0065909554,18
辽宁,Other,6.275177e-05,3.628885e-05,0.0060794335,19
黑龙江,Other,6.213188e-05,4.863872e-05,0.0060811546,20
天津,Other,5.7554244e-05,2.7708804e-05,0.005437955,21
青海,Other,5.261898e-05,4.316902e-05,0.0051869135,22
宁夏,Other,4.709363e-05,3.5022284e-05,0.0045810905,23
山西,Other,4.3994187e-05,2.8003535e-05,0.0042511495,24
内蒙古,Other,4.2063e-05,3.5561032e-05,0.0041085086,25
四川,Other,3.940463e-05,2.0480982e-05,0.0038057372,26
河北,Other,3.8933755e-05,1.2363584e-05,0.0037310277,27
吉林,Other,3.5762787e-05,2.5122803e-05,0.0035281454,28
陕西,Other,3.106594e-05,1.8131353e-05,0.0030567376,29
甘肃,Other,2.8795004e-05,2.5759973e-05,0.0028308237,30
