target_province,shock_sd,target_change,target_relative_change_percent,neighbor_count,avg_neighbor_change,max_neighbor_change,min_neighbor_change,spillover_ratio
江苏,0.25,0.0029360055923461914,0.267670214176178,4,0.0002400517405476421,0.0004443168581929058,5.638599395751953e-05,0.08176133781671524
江苏,0.5,0.005478465463966131,0.4994615912437439,4,0.0004696518590208143,0.0008501529810018837,7.389784150291234e-05,0.08572690188884735
江苏,0.75,0.007525265216827393,0.6860645413398743,4,0.0007013082504272461,0.0012150764232501388,6.248951103771105e-05,0.09319382160902023
广东,0.25,0.0028411149978637695,0.26004695892333984,5,0.0007133364561013877,0.0014516353840008378,0.00021456480317283422,0.25107622146606445
广东,0.5,0.0054263947531580925,0.49667736887931824,5,0.0014448928413912654,0.002861225511878729,0.0004657983663491905,0.2662712335586548
广东,0.75,0.007653546519577503,0.7005283236503601,5,0.0021883570589125156,0.0041685462929308414,0.0007733583333902061,0.2859271764755249
