Province,Province_Type,EE_Change,EE_Change_Std,Relative_Change_Percent,Rank
江苏,Target,0.0029360056,0.0030271737,0.2676702,1
浙江,Neighbor,0.00044431686,0.0007425805,0.040510494,2
安徽,Neighbor,0.00023230314,0.00033526783,0.022355167,3
上海,Neighbor,0.00022720099,0.0005923936,0.021333603,4
广东,Other,0.00018527507,0.00024838344,0.016958209,5
河南,Other,0.00014947653,2.6919213e-05,0.014423752,6
天津,Other,0.00013796092,0.00018571528,0.013035098,7
江西,Other,0.00013655424,3.859128e-05,0.013243638,8
海南,Other,0.000111305715,5.084678e-05,0.010729741,9
北京,Other,9.998083e-05,0.00016392353,0.00917876,10
河北,Other,6.824732e-05,1.4667515e-05,0.006540152,11
福建,Other,6.718635e-05,0.00017826422,0.0062923254,12
湖北,Other,6.489754e-05,2.7990849e-05,0.0061617945,13
山东,Neighbor,5.6385994e-05,0.00053487974,0.005287397,14
湖南,Other,5.0246716e-05,1.6776965e-05,0.0048153014,15
广西,Other,4.876852e-05,3.2620133e-05,0.0047536315,16
内蒙古,Other,4.3547152e-05,3.5274643e-05,0.004253473,17
云南,Other,4.0900708e-05,2.5902753e-05,0.003975473,18
辽宁,Other,4.027486e-05,1.85307e-05,0.0039018553,19
黑龙江,Other,4.0209292e-05,3.1555614e-05,0.0039354824,20
青海,Other,3.980398e-05,3.65086e-05,0.0039236755,21
新疆,Other,3.9696693e-05,2.646814e-05,0.003930689,22
吉林,Other,3.30925e-05,1.976828e-05,0.0032647105,23
山西,Other,2.9057264e-05,2.0663052e-05,0.0028077976,24
陕西,Other,2.809763e-05,1.8797537e-05,0.00276467,25
重庆,Other,2.5546551e-05,1.5815624e-05,0.0024882262,26
宁夏,Other,2.4831295e-05,2.0308662e-05,0.0024154948,27
贵州,Other,2.4354458e-05,1.4006361e-05,0.0023865036,28
甘肃,Other,2.222061e-05,1.9627001e-05,0.0021844981,29
四川,Other,1.9752979e-05,1.519234e-05,0.0019077619,30
