Province,Province_Type,EE_Change,EE_Change_Std,Relative_Change_Percent,Rank
江苏,Target,0.0054784655,0.00550542,0.4994616,1
浙江,Neighbor,0.000850153,0.0014599536,0.07751252,2
上海,Neighbor,0.0004961729,0.0011954622,0.046589397,3
安徽,Neighbor,0.00045838355,0.00067116274,0.044111505,4
广东,Other,0.0003555417,0.0004663943,0.032542694,5
天津,Other,0.00030385255,0.0004446084,0.0287092,6
河南,Other,0.000299716,5.1339186e-05,0.028921122,7
江西,Other,0.00027294754,7.580995e-05,0.026471669,8
海南,Other,0.0002240777,0.00010149363,0.021600828,9
北京,Other,0.00020735264,0.00032853428,0.01903605,10
河北,Other,0.00013788938,2.9153243e-05,0.013213961,11
湖北,Other,0.00012995004,5.6256973e-05,0.012338303,12
福建,Other,0.00012873411,0.00035734658,0.012056569,13
湖南,Other,9.979009e-05,3.2940374e-05,0.0095632,14
广西,Other,9.7835065e-05,6.527973e-05,0.009536313,15
内蒙古,Other,8.816123e-05,7.067653e-05,0.0086111585,16
云南,Other,8.223057e-05,5.2270054e-05,0.007992659,17
辽宁,Other,8.117557e-05,3.643365e-05,0.007864343,18
黑龙江,Other,8.10206e-05,6.311053e-05,0.007929887,19
青海,Other,8.010268e-05,7.317727e-05,0.007896118,20
新疆,Other,8.001328e-05,5.2951233e-05,0.007922757,21
山东,Neighbor,7.389784e-05,0.0010310223,0.0069295093,22
吉林,Other,6.67274e-05,3.931226e-05,0.0065829316,23
山西,Other,5.8609246e-05,4.1104206e-05,0.0056634,24
陕西,Other,5.6684017e-05,3.72852e-05,0.005577431,25
重庆,Other,5.23448e-05,3.2127355e-05,0.0050983676,26
宁夏,Other,5.055666e-05,4.0883755e-05,0.004917961,27
贵州,Other,4.8732756e-05,2.8120297e-05,0.004775343,28
甘肃,Other,4.467368e-05,3.927588e-05,0.004391849,29
四川,Other,4.0638446e-05,3.0318295e-05,0.0039249007,30
